City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
151,borovoy,55.4333,86.0833,-15.4,92,75,2.0,RU,1675826785
152,mizdah,31.4451,12.9801,7.15,75,86,7.48,LY,1675826785
153,sorong,-0.8833,131.25,26.95,80,100,2.24,ID,1675826786
154,george,-33.963,22.4617,17.75,94,100,5.14,ZA,1675826787
155,bam,29.106,58.357,14.89,51,41,3.27,IR,1675826787
156,tarko-sale,64.9225,77.785,-26.35,100,98,3.34,RU,1675826722
157,sant feliu de guixols,41.7833,3.0333,9.35,45,90,5.97,ES,1675826788
158,chancay,-11.5714,-77.2672,23.01,85,58,2.19,PE,1675826789
159,honggang,46.4667,124.8667,-10.47,65,2,2.89,CN,1675826790
160,kantunilkin,21.0917,-87.45,20.96,97,3,1.61,MX,1675826791
161,sur,22.5667,59.5289,22.65,54,45,3.13,OM,1675826792
162,bathsheba,13.2167,-59.5167,24.34,88,40,5.14,BB,1675826792
163,saint-philippe,-21.3585,55.7679,26.77,83,89,5.97,RE,1675826793
164,jumla,29.2747,82.1838,6.53,26,0,1.51,NP,1675826794
165,saint-augustin,51.226,-58.6502,-19.57,87,15,2.25,CA,1675826794
166,sabzevar,36.2126,57.6819,6.6,93,40,4.12,IR,1675826585
167,kloulklubed,7.0419,134.2556,29.28,77,100,8.09,PW,1675826656
168,sawtell,-30.3833,153.1,26.01,61,40,3.09,AU,1675826795
169,dharmanagar,24.3667,92.1667,20.46,56,38,0.69,IN,1675826796
170,mamlyutka,54.9375,68.5394,-22.99,100,89,2.65,KZ,1675826796
171,roebourne,-20.7833,117.1333,34.48,39,60,4.4,AU,1675826797
172,hilo,19.7297,-155.09,25.16,89,100,4.63,US,1675826797
173,noumea,-22.2763,166.4572,31.99,99,98,4.61,NC,1675826455
174,saravan,39.7196,45.6483,-5.85,91,99,1.96,AM,1675826799
175,tasiilaq,65.6145,-37.6368,-17.91,39,0,12.0,GL,1675826800
176,madang,-5.2246,145.7966,30.28,67,95,2.17,PG,1675826800
177,bengkulu,-3.8004,102.2655,28.68,57,65,3.14,ID,1675826801
178,san jose,37.3394,-121.895,12.5,69,0,4.12,US,1675826802
179,constitucion,-35.3333,-72.4167,15.51,69,0,4.34,CL,1675826802
180,somme-leuze,50.337,5.3671,0.26,47,71,1.44,BE,1675826802
181,puerto del rosario,28.5004,-13.8627,12.86,76,0,3.6,ES,1675826803
182,pevek,69.7008,170.3133,-29.91,95,100,1.47,RU,1675826513
183,farafangana,-22.8167,47.8333,22.87,90,100,1.61,MG,1675826804
184,gatton,-27.55,152.2833,29.52,35,53,5.14,AU,1675826804
185,mbandaka,0.0487,18.2603,22.52,73,57,1.67,CD,1675826805
186,aklavik,68.2191,-135.0107,-29.05,96,100,3.42,CA,1675826624
187,port blair,11.6667,92.75,28.02,69,40,4.63,IN,1675826805
188,krasnoselkup,65.7,82.4667,-31.51,100,100,2.12,RU,1675826806
189,rio gallegos,-51.6226,-69.2181,14.03,77,0,8.23,AR,1675826528
190,kvarkeno,52.0833,59.725,-19.57,100,95,3.43,RU,1675826807
191,muros,42.7762,-9.0603,5.61,80,36,7.29,ES,1675826807
192,jalu,29.0331,21.5482,9.04,59,74,2.89,LY,1675826808
193,guararapes,-21.2608,-50.6428,21.1,93,94,1.31,BR,1675826808
194,naze,28.3667,129.4833,18.51,67,95,6.41,JP,1675826809
195,portland,45.5234,-122.6762,7.97,88,20,1.79,US,1675826587
196,half moon bay,37.4636,-122.4286,12.95,74,0,4.12,US,1675826755
197,lashio,22.9333,97.75,19.4,33,0,0.8,MM,1675826810
198,lasa,46.6166,10.7002,-4.51,80,32,0.36,IT,1675826810
199,arys,42.4252,68.795,3.17,53,100,1.56,KZ,1675826811
